locus_tag	ftype	length_bp	gene	EC_number	COG	product
EJKFKEDI_00703	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
EJKFKEDI_00704	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
EJKFKEDI_00705	CDS	639	leuE		COG1280	Leucine efflux protein
EJKFKEDI_00706	CDS	360	yeaR		COG3615	putative protein YeaR
EJKFKEDI_00707	CDS	183	yoaG			Protein YoaG
EJKFKEDI_00708	CDS	249				hypothetical protein
EJKFKEDI_00709	CDS	1026	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
EJKFKEDI_00710	CDS	255				hypothetical protein
EJKFKEDI_00711	CDS	348				hypothetical protein
EJKFKEDI_00712	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
EJKFKEDI_00713	CDS	819	nimR_1			HTH-type transcriptional regulator NimR
EJKFKEDI_00714	CDS	447				hypothetical protein
EJKFKEDI_00715	CDS	504				hypothetical protein
EJKFKEDI_00716	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
EJKFKEDI_00717	CDS	1476	cdgI	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
EJKFKEDI_00718	CDS	1284				hypothetical protein
EJKFKEDI_00719	CDS	1935				hypothetical protein
EJKFKEDI_00720	CDS	747	mipA		COG3713	MltA-interacting protein
EJKFKEDI_00721	CDS	855	yvgN_1	1.1.1.-	COG0656	Glyoxal reductase
EJKFKEDI_00722	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
EJKFKEDI_00723	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
EJKFKEDI_00724	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
EJKFKEDI_00725	CDS	273				hypothetical protein
EJKFKEDI_00726	CDS	1077		1.1.1.301		D-arabitol-phosphate dehydrogenase
EJKFKEDI_00727	CDS	1380	ydjE_1			Inner membrane metabolite transport protein YdjE
EJKFKEDI_00728	CDS	1044	ydjJ	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
EJKFKEDI_00729	CDS	837	ydjI		COG0191	putative protein YdjI
EJKFKEDI_00730	CDS	948	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
EJKFKEDI_00731	CDS	981	ydjG	1.1.1.-	COG0667	NADH-specific methylglyoxal reductase
EJKFKEDI_00732	CDS	759	ydjF_1		COG1349	putative HTH-type transcriptional regulator YdjF
EJKFKEDI_00733	CDS	1359	ydjE_2			Inner membrane metabolite transport protein YdjE
EJKFKEDI_00734	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
EJKFKEDI_00735	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
EJKFKEDI_00736	CDS	711				hypothetical protein
EJKFKEDI_00737	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
EJKFKEDI_00738	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
EJKFKEDI_00739	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
EJKFKEDI_00740	CDS	1956	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
EJKFKEDI_00741	CDS	1344	gdhA	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
EJKFKEDI_00742	CDS	273				hypothetical protein
EJKFKEDI_00743	CDS	408	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
EJKFKEDI_00744	CDS	621	ynjF		COG0558	Inner membrane protein YnjF
EJKFKEDI_00745	CDS	1308	ynjE	2.8.1.1	COG2897	Thiosulfate sulfurtransferase YnjE
EJKFKEDI_00746	CDS	654	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
EJKFKEDI_00747	CDS	1536	ynjC		COG4135	Inner membrane ABC transporter permease protein YnjC
EJKFKEDI_00748	CDS	1167	ynjB		COG4134	Protein YnjB
EJKFKEDI_00749	CDS	549				hypothetical protein
EJKFKEDI_00750	CDS	705	ydjZ_1		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
EJKFKEDI_00751	CDS	678				hypothetical protein
EJKFKEDI_00752	CDS	711	ydjZ_2		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
EJKFKEDI_00753	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
EJKFKEDI_00754	CDS	1221	astC	2.6.1.81	COG4992	Succinylornithine transaminase
EJKFKEDI_00755	CDS	1035	astA	2.3.1.109	COG3138	Arginine N-succinyltransferase
EJKFKEDI_00756	CDS	1479	astD	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
EJKFKEDI_00757	CDS	1344	astB	3.5.3.23	COG3724	N-succinylarginine dihydrolase
EJKFKEDI_00758	CDS	969	astE	3.5.1.96	COG2988	Succinylglutamate desuccinylase
EJKFKEDI_00759	CDS	486	spy		COG3678	Periplasmic chaperone Spy
EJKFKEDI_00760	CDS	576	ves		COG3758	Protein Ves
EJKFKEDI_00761	CDS	888	cho	3.1.25.-	COG0322	Excinuclease cho
EJKFKEDI_00762	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
EJKFKEDI_00763	CDS	339	osmE			Osmotically-inducible putative lipoprotein OsmE
EJKFKEDI_00764	CDS	321	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
EJKFKEDI_00765	CDS	1359	chbC		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
EJKFKEDI_00766	CDS	351	chbA		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
EJKFKEDI_00767	CDS	840	chbR			HTH-type transcriptional regulator ChbR
EJKFKEDI_00768	CDS	1353	chbF	3.2.1.86	COG1486	6-phospho-beta-glucosidase
EJKFKEDI_00769	CDS	759	chbG	3.5.1.105	COG3394	Chitooligosaccharide deacetylase ChbG
EJKFKEDI_00770	CDS	2262	katE	1.11.1.6	COG0753	Catalase HPII
EJKFKEDI_00771	CDS	264	cedA			Cell division activator CedA
EJKFKEDI_00772	CDS	1392	tcyP		COG1823	L-cystine uptake protein TcyP
EJKFKEDI_00773	CDS	591	ydjM		COG1988	Inner membrane protein YdjM
EJKFKEDI_00774	CDS	669	hxpB	3.1.3.68	COG0637	Hexitol phosphatase B
EJKFKEDI_00775	CDS	537				hypothetical protein
EJKFKEDI_00776	CDS	861		2.7.1.-		putative ketoamine kinase
EJKFKEDI_00777	CDS	291				hypothetical protein
EJKFKEDI_00778	CDS	930	pfkB	2.7.1.11	COG1105	ATP-dependent 6-phosphofructokinase isozyme 2
EJKFKEDI_00779	CDS	759				hypothetical protein
EJKFKEDI_00780	CDS	108	yniD			putative protein YniD
EJKFKEDI_00781	CDS	288				hypothetical protein
EJKFKEDI_00782	CDS	1929	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
EJKFKEDI_00783	CDS	435	infC		COG0290	Translation initiation factor IF-3
EJKFKEDI_00784	CDS	198	rpmI		COG0291	50S ribosomal protein L35
EJKFKEDI_00785	CDS	357	rplT		COG0292	50S ribosomal protein L20
EJKFKEDI_00786	CDS	984	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
EJKFKEDI_00787	CDS	2388	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
EJKFKEDI_00788	CDS	300	ihfA		COG0776	Integration host factor subunit alpha
EJKFKEDI_00789	CDS	981	btuC		COG4139	Vitamin B12 import system permease protein BtuC
EJKFKEDI_00790	CDS	552	btuE	1.11.1.15	COG0386	Thioredoxin/glutathione peroxidase BtuE
EJKFKEDI_00791	CDS	750	btuD_1	7.6.2.8	COG4138	Vitamin B12 import ATP-binding protein BtuD
EJKFKEDI_00792	CDS	465	mepS_2	3.4.-.-	COG0791	Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase
EJKFKEDI_00793	CDS	714	ydiV		COG2200	Putative anti-FlhC(2)FlhD(4) factor YdiV
EJKFKEDI_00794	CDS	1437	selO	2.7.7.-	COG0397	Protein adenylyltransferase SelO
EJKFKEDI_00795	CDS	192	ydiE		COG4256	putative protein YdiE
EJKFKEDI_00796	CDS	1047	aroH	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive
EJKFKEDI_00797	CDS	834	ppsR	2.7.11.33	COG1806	Phosphoenolpyruvate synthase regulatory protein
EJKFKEDI_00798	CDS	2379	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
EJKFKEDI_00799	CDS	1647	fadK	6.2.1.-	COG0318	Medium-chain fatty-acid--CoA ligase
EJKFKEDI_00800	CDS	294	fixX_1		COG2440	Ferredoxin-like protein FixX
EJKFKEDI_00801	CDS	1290	dadA_1	1.4.99.-		D-amino acid dehydrogenase
EJKFKEDI_00802	CDS	939	fixB_1		COG2025	Protein FixB
EJKFKEDI_00803	CDS	765	fixA_1		COG2086	Protein FixA
EJKFKEDI_00804	CDS	912	rhaS_2			HTH-type transcriptional activator RhaS
EJKFKEDI_00805	CDS	1152	caiA_1	1.3.8.13	COG1960	Crotonobetainyl-CoA reductase
EJKFKEDI_00806	CDS	1596	ydiF_1	2.8.3.8	COG4670	Acetate CoA-transferase YdiF
EJKFKEDI_00807	CDS	759	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
EJKFKEDI_00808	CDS	867	ydiB	1.1.1.282	COG0169	Quinate/shikimate dehydrogenase
EJKFKEDI_00809	CDS	1266	ydiN			Inner membrane transport protein YdiN
EJKFKEDI_00810	CDS	1215	ydiM			Inner membrane transport protein YdiM
EJKFKEDI_00811	CDS	357				hypothetical protein
EJKFKEDI_00812	CDS	1113	ydiK		COG0628	Putative transport protein YdiK
EJKFKEDI_00813	CDS	3057			COG0247	putative protein
EJKFKEDI_00814	CDS	411	menI	3.1.2.28	COG2050	1,4-dihydroxy-2-naphthoyl-CoA hydrolase
EJKFKEDI_00815	CDS	189				hypothetical protein
EJKFKEDI_00816	CDS	369	sufA		COG0316	Protein SufA
EJKFKEDI_00817	CDS	1488	sufB		COG0719	FeS cluster assembly protein SufB
EJKFKEDI_00818	CDS	747	sufC		COG0396	putative ATP-dependent transporter SufC
EJKFKEDI_00819	CDS	1272	sufD		COG0719	FeS cluster assembly protein SufD
EJKFKEDI_00820	CDS	1221	sufS	2.8.1.7	COG0520	Cysteine desulfurase
EJKFKEDI_00821	CDS	417	sufE		COG2166	Cysteine desulfuration protein SufE
EJKFKEDI_00822	CDS	1005	ynhG	2.-.-.-	COG1376	putative L,D-transpeptidase YnhG
EJKFKEDI_00823	CDS	237	lpp		COG4238	Major outer membrane prolipoprotein Lpp
EJKFKEDI_00824	CDS	1413	pykF	2.7.1.40	COG0469	Pyruvate kinase I
EJKFKEDI_00825	CDS	210	fumD	4.2.1.2		Fumarase D
EJKFKEDI_00826	CDS	627	ydhY		COG0437	putative ferredoxin-like protein YdhY
EJKFKEDI_00827	CDS	2103	ydhV	1.-.-.-	COG2414	putative oxidoreductase YdhV
EJKFKEDI_00828	CDS	639	ydhW			putative protein YdhW
EJKFKEDI_00829	CDS	669	ydhX_1		COG0437	putative ferredoxin-like protein YdhX
EJKFKEDI_00830	CDS	786	ydhU		COG4117	Putative cytochrome YdhU
EJKFKEDI_00831	CDS	765	ydhT			putative protein YdhT
EJKFKEDI_00832	CDS	1605				hypothetical protein
EJKFKEDI_00833	CDS	306	ydhR	1.-.-.-		Putative monooxygenase YdhR
EJKFKEDI_00834	tRNA	77				tRNA-Val(gac)
EJKFKEDI_00835	tRNA	77				tRNA-Val(gac)
EJKFKEDI_00836	CDS	1257				putative autotransporter
EJKFKEDI_00837	CDS	1374	mdtK		COG0534	Multidrug resistance protein MdtK
EJKFKEDI_00838	CDS	642	ribC	2.5.1.9	COG0307	Riboflavin synthase
EJKFKEDI_00839	CDS	1149	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
EJKFKEDI_00840	CDS	1212	ydhC			Inner membrane transport protein YdhC
EJKFKEDI_00841	CDS	933	yahB_1			putative HTH-type transcriptional regulator YahB
EJKFKEDI_00842	CDS	1026	purR		COG1609	HTH-type transcriptional repressor PurR
EJKFKEDI_00843	CDS	90	ynhF			putative protein YnhF
EJKFKEDI_00844	CDS	1170	ydhP		COG2814	Inner membrane transport protein YdhP
EJKFKEDI_00845	CDS	582	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
EJKFKEDI_00846	CDS	828	mepH	3.4.-.-	COG0791	Murein DD-endopeptidase MepH
EJKFKEDI_00847	CDS	348	grxD		COG0278	Glutaredoxin 4
EJKFKEDI_00848	CDS	648	rnt	3.1.13.-	COG0847	Ribonuclease T
EJKFKEDI_00849	CDS	408	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
EJKFKEDI_00850	CDS	1098	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
EJKFKEDI_00851	CDS	600	nemR			HTH-type transcriptional repressor NemR
EJKFKEDI_00852	CDS	240				hypothetical protein
EJKFKEDI_00853	CDS	897	ydhF	1.-.-.-	COG4989	Oxidoreductase YdhF
EJKFKEDI_00854	CDS	522	sodC	1.15.1.1	COG2032	Superoxide dismutase [Cu-Zn]
EJKFKEDI_00855	CDS	2013	aaeB_1			p-hydroxybenzoic acid efflux pump subunit AaeB
EJKFKEDI_00856	CDS	858	aaeA_1		COG1566	p-hydroxybenzoic acid efflux pump subunit AaeA
EJKFKEDI_00857	CDS	237				hypothetical protein
EJKFKEDI_00858	CDS	435	slyA		COG1846	Transcriptional regulator SlyA
EJKFKEDI_00859	CDS	468	slyB		COG3133	Outer membrane lipoprotein SlyB
EJKFKEDI_00860	CDS	1110	anmK	2.7.1.170	COG2377	Anhydro-N-acetylmuramic acid kinase
EJKFKEDI_00861	CDS	324	mliC		COG3895	Membrane-bound lysozyme inhibitor of C-type lysozyme
EJKFKEDI_00862	CDS	657	pdxH	1.4.3.5	COG0259	Pyridoxine/pyridoxamine 5'-phosphate oxidase
EJKFKEDI_00863	CDS	1275	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
EJKFKEDI_00864	CDS	861	pdxY	2.7.1.35	COG2240	Pyridoxal kinase PdxY
EJKFKEDI_00865	CDS	606	gstA	2.5.1.18	COG0625	Glutathione S-transferase GstA
EJKFKEDI_00866	CDS	1503	dtpA		COG3104	Dipeptide and tripeptide permease A
EJKFKEDI_00867	CDS	636	nth	4.2.99.18	COG0177	Endonuclease III
EJKFKEDI_00868	CDS	696	rsxE	7.-.-.-	COG4660	Ion-translocating oxidoreductase complex subunit E
EJKFKEDI_00869	CDS	621	rsxG	7.-.-.-	COG4659	Ion-translocating oxidoreductase complex subunit G
EJKFKEDI_00870	CDS	1059	rsxD	7.-.-.-	COG4658	Ion-translocating oxidoreductase complex subunit D
EJKFKEDI_00871	CDS	2421	rsxC	7.-.-.-	COG4656	Ion-translocating oxidoreductase complex subunit C
EJKFKEDI_00872	CDS	579	rsxB	7.-.-.-	COG2878	Ion-translocating oxidoreductase complex subunit B
EJKFKEDI_00873	CDS	582	rsxA	7.-.-.-	COG4657	Ion-translocating oxidoreductase complex subunit A
EJKFKEDI_00874	CDS	441	ydgK			Inner membrane protein YdgK
EJKFKEDI_00875	CDS	216	cnu			OriC-binding nucleoid-associated protein
EJKFKEDI_00876	CDS	1041	ydgJ	1.-.-.-	COG0673	putative oxidoreductase YdgJ
EJKFKEDI_00877	CDS	1002	add	3.5.4.4	COG1816	Adenosine deaminase
EJKFKEDI_00878	CDS	1173	malY_1		COG1168	Protein MalY
EJKFKEDI_00879	CDS	1593	malX_1		COG1263	PTS system maltose-specific EIICB component
EJKFKEDI_00880	CDS	1029	malI		COG1609	Maltose regulon regulatory protein MalI
EJKFKEDI_00881	CDS	768	hdhA	1.1.1.159		7-alpha-hydroxysteroid dehydrogenase
EJKFKEDI_00882	CDS	579				hypothetical protein
EJKFKEDI_00883	CDS	1812	uidA	3.2.1.31	COG3250	Beta-glucuronidase
EJKFKEDI_00884	CDS	471	uidB_1		COG2211	Glucuronide carrier protein
EJKFKEDI_00885	CDS	906	uidB_2		COG2211	Glucuronide carrier protein 
EJKFKEDI_00886	CDS	234	uidC_1			Membrane-associated protein UidC
EJKFKEDI_00887	CDS	1065	uidC_2			Membrane-associated protein UidC
EJKFKEDI_00888	CDS	1509	ydgA_1		COG5339	Protein YdgA
EJKFKEDI_00889	CDS	1176	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
EJKFKEDI_00890	CDS	1647	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
EJKFKEDI_00891	CDS	1404	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
EJKFKEDI_00892	CDS	930	tus			DNA replication terminus site-binding protein
EJKFKEDI_00893	CDS	1302	rstB	2.7.13.3		Sensor protein RstB
EJKFKEDI_00894	CDS	720	rstA		COG0745	Transcriptional regulatory protein RstA
EJKFKEDI_00895	CDS	336	ydgC		COG3136	Inner membrane protein YdgC
EJKFKEDI_00896	CDS	723	folM	1.5.1.50	COG1028	Dihydromonapterin reductase
EJKFKEDI_00897	CDS	1383	ydgI		COG0531	Putative arginine/ornithine antiporter
EJKFKEDI_00898	CDS	945	ydgH			Protein YdgH
EJKFKEDI_00899	CDS	1533	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
EJKFKEDI_00900	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
EJKFKEDI_00901	CDS	1035	tqsA		COG0628	AI-2 transport protein TqsA
EJKFKEDI_00902	CDS	366	mdtJ		COG2076	Spermidine export protein MdtJ
EJKFKEDI_00903	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
EJKFKEDI_00904	CDS	822				hypothetical protein
EJKFKEDI_00905	CDS	309	asr			Acid shock protein
EJKFKEDI_00906	CDS	1254	ynfM			Inner membrane transport protein YnfM
EJKFKEDI_00907	CDS	894	hcaR_1			Hca operon transcriptional activator HcaR
EJKFKEDI_00908	CDS	1221	mlc_1		COG1940	Protein mlc
EJKFKEDI_00909	CDS	696	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
EJKFKEDI_00910	CDS	1257	clcB		COG0038	Voltage-gated ClC-type chloride channel ClcB
EJKFKEDI_00911	CDS	615	dmsD		COG3381	Tat proofreading chaperone DmsD
EJKFKEDI_00912	CDS	855	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
EJKFKEDI_00913	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
EJKFKEDI_00914	CDS	738	ynfF_1	1.8.99.-	COG1104	putative dimethyl sulfoxide reductase chain YnfF
EJKFKEDI_00915	CDS	735	ynfF_2	1.8.99.-	COG1104	putative dimethyl sulfoxide reductase chain YnfF
EJKFKEDI_00916	CDS	2427	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
EJKFKEDI_00917	CDS	306	ynfD			putative protein YnfD
EJKFKEDI_00918	CDS	747				hypothetical protein
EJKFKEDI_00919	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
EJKFKEDI_00920	CDS	342				hypothetical protein
EJKFKEDI_00921	CDS	327				hypothetical protein
EJKFKEDI_00922	CDS	1215	rspA		COG4948	Starvation-sensing protein RspA
EJKFKEDI_00923	CDS	1020	rspB	1.1.1.-	COG1063	Starvation-sensing protein RspB
EJKFKEDI_00924	CDS	1368	ydfJ			Putative transporter YdfJ
EJKFKEDI_00925	CDS	1461	por_2	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
EJKFKEDI_00926	CDS	204	ydfZ			Putative selenoprotein YdfZ
EJKFKEDI_00927	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
EJKFKEDI_00928	CDS	747	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
EJKFKEDI_00929	CDS	2046	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
EJKFKEDI_00930	CDS	891	dgcZ	2.7.7.65	COG2199	Diguanylate cyclase DgcZ
EJKFKEDI_00931	CDS	96	mgtS			Small protein MgtS
EJKFKEDI_00932	CDS	1188	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
EJKFKEDI_00933	CDS	900	eamA		COG0697	putative amino-acid metabolite efflux pump
EJKFKEDI_00934	CDS	219				hypothetical protein
EJKFKEDI_00935	CDS	384	marA			Multiple antibiotic resistance protein MarA
EJKFKEDI_00936	CDS	435	marR		COG1846	Multiple antibiotic resistance protein MarR
EJKFKEDI_00937	CDS	666				hypothetical protein
EJKFKEDI_00938	CDS	1191	sotB		COG2814	Sugar efflux transporter
EJKFKEDI_00939	CDS	882	gltR		COG0583	HTH-type transcriptional regulator GltR
EJKFKEDI_00940	CDS	1389	sad	1.2.1.16	COG1012	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad
EJKFKEDI_00941	CDS	927	glsA2	3.5.1.2	COG2066	Glutaminase 2
EJKFKEDI_00942	CDS	360				hypothetical protein
EJKFKEDI_00943	CDS	1419				hypothetical protein
EJKFKEDI_00944	CDS	1452	uxaB	1.1.1.58	COG0246	Altronate oxidoreductase
EJKFKEDI_00945	CDS	915				hypothetical protein
EJKFKEDI_00946	CDS	375	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
EJKFKEDI_00947	CDS	267	hipB		COG1396	Antitoxin HipB
EJKFKEDI_00948	CDS	1323	hipA	2.7.11.1	COG3550	Serine/threonine-protein kinase toxin HipA
EJKFKEDI_00949	CDS	180				hypothetical protein
EJKFKEDI_00950	CDS	564	fimA			Type-1 fimbrial protein, A chain
EJKFKEDI_00951	CDS	711	focC			Chaperone protein FocC
EJKFKEDI_00952	CDS	1308	fimD_1		COG3188	Outer membrane usher protein FimD
EJKFKEDI_00953	CDS	1398	fimD_2		COG3188	Outer membrane usher protein FimD
EJKFKEDI_00954	CDS	531	fimF_1			Protein FimF
EJKFKEDI_00955	CDS	504	fimG_1			Protein FimG
EJKFKEDI_00956	CDS	915	fimH_1			Type 1 fimbrin D-mannose specific adhesin
EJKFKEDI_00957	CDS	2280	ydeP		COG0243	Protein YdeP
EJKFKEDI_00958	CDS	198	safA			Two-component-system connector protein SafA
EJKFKEDI_00959	CDS	762	ydeO		COG2207	HTH-type transcriptional regulator YdeO
EJKFKEDI_00960	CDS	1683				hypothetical protein
EJKFKEDI_00961	CDS	1158	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
EJKFKEDI_00962	CDS	810				hypothetical protein
EJKFKEDI_00963	CDS	2004				hypothetical protein
EJKFKEDI_00964	CDS	2415				hypothetical protein
EJKFKEDI_00965	CDS	687	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
EJKFKEDI_00966	CDS	594	tesA	3.1.2.2	COG2755	Thioesterase 1/protease 1/lysophospholipase L1
EJKFKEDI_00967	CDS	771				hypothetical protein
EJKFKEDI_00968	CDS	855	cnoX		COG3118	Chaperedoxin
EJKFKEDI_00969	CDS	780	fetB		COG0390	putative iron export permease protein FetB
EJKFKEDI_00970	CDS	678	fetA	3.6.3.-	COG4619	putative iron export ATP-binding protein FetA
EJKFKEDI_00971	CDS	918	qmcA		COG0330	Protein QmcA
EJKFKEDI_00972	CDS	459	ybbJ		COG1585	Inner membrane protein YbbJ
EJKFKEDI_00973	CDS	480				hypothetical protein
EJKFKEDI_00974	CDS	408	cueR		COG0789	HTH-type transcriptional regulator CueR
EJKFKEDI_00975	CDS	1293	ybaT		COG0531	Inner membrane transport protein YbaT
EJKFKEDI_00976	CDS	933	glsA1	3.5.1.2	COG2066	Glutaminase 1
EJKFKEDI_00977	CDS	2505	copA	7.2.2.8	COG2217	Copper-exporting P-type ATPase
EJKFKEDI_00978	CDS	342	ybaQ		COG3093	putative HTH-type transcriptional regulator YbaQ
EJKFKEDI_00979	CDS	303	higB-1		COG3549	Toxin HigB-1
EJKFKEDI_00980	CDS	795				hypothetical protein
EJKFKEDI_00981	CDS	480	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
EJKFKEDI_00982	CDS	801				hypothetical protein
EJKFKEDI_00983	CDS	504				hypothetical protein
EJKFKEDI_00984	CDS	1653	ushA		COG0737	Protein UshA
EJKFKEDI_00985	CDS	1221	fsr			Fosmidomycin resistance protein
EJKFKEDI_00986	CDS	1677	ybaL		COG1226	Putative cation/proton antiporter YbaL
EJKFKEDI_00987	CDS	1305	gsk	2.7.1.73	COG0524	Inosine-guanosine kinase
EJKFKEDI_00988	CDS	960	aes_1	3.1.1.-	COG0657	Acetyl esterase
EJKFKEDI_00989	CDS	963	hemH	4.99.1.1	COG0276	Ferrochelatase
EJKFKEDI_00990	CDS	645	adk	2.7.4.3	COG0563	Adenylate kinase
EJKFKEDI_00991	CDS	1875	htpG		COG0326	Chaperone protein HtpG
EJKFKEDI_00992	CDS	606	recR		COG0353	Recombination protein RecR
EJKFKEDI_00993	CDS	330	ybaB		COG0718	Nucleoid-associated protein YbaB
EJKFKEDI_00994	CDS	1932	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
EJKFKEDI_00995	CDS	552	apt	2.4.2.7	COG0503	Adenine phosphoribosyltransferase
EJKFKEDI_00996	CDS	378	ybaN		COG2832	Inner membrane protein YbaN
EJKFKEDI_00997	CDS	528	priC		COG3923	Primosomal replication protein N''
EJKFKEDI_00998	CDS	165				hypothetical protein
EJKFKEDI_00999	CDS	3363	mscK		COG3264	Mechanosensitive channel MscK
EJKFKEDI_01000	CDS	648	acrR_1		COG1309	HTH-type transcriptional regulator AcrR
EJKFKEDI_01001	CDS	1194	acrA			Multidrug efflux pump subunit AcrA
EJKFKEDI_01002	CDS	3150	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
EJKFKEDI_01003	CDS	375	tomB			Hha toxicity modulator TomB
EJKFKEDI_01004	CDS	219	hha_1			Hemolysin expression-modulating protein Hha
EJKFKEDI_01005	CDS	552	maa	2.3.1.79	COG0110	Maltose O-acetyltransferase
EJKFKEDI_01006	CDS	471	ylaC			Inner membrane protein YlaC
EJKFKEDI_01007	CDS	1551	pdeB	3.1.4.52	COG4943	putative cyclic di-GMP phosphodiesterase PdeB
EJKFKEDI_01008	CDS	354	ybaA		COG5507	putative protein YbaA
EJKFKEDI_01009	CDS	312	atl		COG3695	DNA base-flipping protein
EJKFKEDI_01010	CDS	573	ybaY		COG3126	putative lipoprotein YbaY
EJKFKEDI_01011	CDS	861	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
EJKFKEDI_01012	CDS	1287	amtB			Ammonia channel
EJKFKEDI_01013	CDS	339	glnK		COG0347	Nitrogen regulatory protein P-II 2
EJKFKEDI_01014	CDS	1782	mdlB	7.6.2.2	COG1132	Multidrug resistance-like ATP-binding protein MdlB
EJKFKEDI_01015	CDS	1773	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
EJKFKEDI_01016	CDS	459	decR		COG1522	DNA-binding transcriptional activator DecR
EJKFKEDI_01017	CDS	819	cof	3.6.1.-	COG0561	HMP-PP phosphatase
EJKFKEDI_01018	CDS	1701	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
EJKFKEDI_01019	CDS	696	queC	6.3.4.20	COG0603	7-cyano-7-deazaguanine synthase
EJKFKEDI_01020	CDS	399	fadM	3.1.2.-	COG0824	Long-chain acyl-CoA thioesterase FadM
EJKFKEDI_01021	CDS	372			COG1555	putative protein
