Plasmid,Plasmid Length,Resistance,Resistance Gene,Resistance Count,TF Protein,TF Gene,TF Gene Simplified,TF Count,DeepTFactor Locus_ID,DeepTF Count
NZ_CP018963.1,54645,['CARBAPENEM'],['blaKPC-2'],1,"['TrfB transcriptional repressor protein (Regulatory protein KorA)', 'Trans-acting regulatory protein HvrA']","['trfB korA', 'hvrA']","['trfB', 'hvrA']",2,"['MOCFLDLI_00002', 'MOCFLDLI_00005', 'MOCFLDLI_00033', 'MOCFLDLI_00060']",4
NZ_CP018964.1,118496,"['TETRACYCLINE', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'CEPHALOSPORIN', 'CEPHALOSPORIN', 'MACROLIDE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM']","['tet(A)', ""aac(6')-Ib-D181Y"", 'blaOXA-1', 'blaCTX-M-15', 'mph(A)', 'sul1', 'aadA5', 'dfrA17']",8,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Arginine repressor', 'Tetracycline repressor protein class A from transposon 1721', 'Replication regulatory protein repA2 (Protein CopB)', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Transcriptional regulator Rv3488', 'HTH-type transcriptional repressor NemR (Bleach-sensing transcription factor) (Redox-regulated transcription factor NemR)']","['finO', 'repA2 copB ECOK12F006', 'argR KPN78578_36140 KPN_03645', 'tetR', 'repA2 copB', 'yfiR BSU08370', 'Rv3488', 'nemR ydhM b1649 JW5874']","['finO', 'repA2', 'argR', 'tetR', 'repA2', 'yfiR', 'Rv3488', 'nemR']",8,"['FKKIBDPO_00003', 'FKKIBDPO_00008', 'FKKIBDPO_00014', 'FKKIBDPO_00017', 'FKKIBDPO_00021', 'FKKIBDPO_00050', 'FKKIBDPO_00094', 'FKKIBDPO_00099', 'FKKIBDPO_00104', 'FKKIBDPO_00127']",10
NZ_CP018966.1,4088,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018967.1,5168,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018968.1,44321,['CARBAPENEM'],['blaKPC-2'],1,"['Mercuric resistance operon regulatory protein', 'Transcriptional repressor protein KorC']","['merR', 'korC']","['merR', 'korC']",2,"['DGBBGKCD_00015', 'DGBBGKCD_00016', 'DGBBGKCD_00026', 'DGBBGKCD_00029', 'DGBBGKCD_00051', 'DGBBGKCD_00052']",6
NZ_CP018969.1,82365,['CEPHALOSPORIN'],['blaCTX-M-27'],1,['None'],['None'],['None'],0,"['ILLONDEE_00049', 'ILLONDEE_00082', 'ILLONDEE_00085']",3
NZ_CP018971.1,3165,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018972.1,4074,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018973.1,70153,['CEPHALOSPORIN'],['blaCTX-M-27'],1,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['repA2 copB', 'finO']","['repA2', 'finO']",2,"['AFPEOIBN_00001', 'AFPEOIBN_00027']",2
NZ_CP018974.1,70877,"['AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'CEPHALOSPORIN', 'CHLORAMPHENICOL', 'CARBAPENEM']","[""aac(6')-Ib-D181Y"", 'blaOXA-1', 'catB3', 'blaKPC-2']",4,"['Cryptic phage CTXphi transcriptional repressor RstR', 'Transcriptional repressor protein KorC', 'TrfB transcriptional repressor protein (Regulatory protein KorA)']","['rstR1 VC_1455; rstR2 VC_1464', 'korC', 'trfB korA']","['rstR1', 'korC', 'trfB']",3,"['KPKDNHOM_00002', 'KPKDNHOM_00016', 'KPKDNHOM_00057', 'KPKDNHOM_00072', 'KPKDNHOM_00073', 'KPKDNHOM_00081', 'KPKDNHOM_00089', 'KPKDNHOM_00093']",8
NZ_CP018975.1,95927,"['BETA-LACTAM', 'CEPHALOSPORIN']","['blaTEM-1', 'blaCTX-M-15']",2,['Response regulator UvrY'],['uvrY c2327'],['uvrY'],1,"['EBMNOMIK_00043', 'EBMNOMIK_00052', 'EBMNOMIK_00072', 'EBMNOMIK_00077', 'EBMNOMIK_00095']",5
NZ_CP018977.1,58432,"['CARBAPENEM', 'SULFONAMIDE', 'TRIMETHOPRIM']","['blaKPC-2', 'sul1', 'dfrA21']",3,"['TrfB transcriptional repressor protein (Regulatory protein KorA)', 'Trans-acting regulatory protein HvrA']","['trfB korA', 'hvrA']","['trfB', 'hvrA']",2,"['BBMMLHGP_00002', 'BBMMLHGP_00005', 'BBMMLHGP_00033', 'BBMMLHGP_00065']",4
NZ_CP018978.1,117845,"['BETA-LACTAM', 'TETRACYCLINE']","['blaTEM-1', 'tet(A)']",2,"['Uncharacterized HTH-type transcriptional regulator RhmR', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'Tetracycline repressor protein class A from transposon 1721']","['rhmR yfaX b2248 JW2242', 'finO', 'repA2 copB repB CP0258', 'tetR']","['rhmR', 'finO', 'repA2', 'tetR']",4,"['HGOHDFGA_00015', 'HGOHDFGA_00043', 'HGOHDFGA_00059', 'HGOHDFGA_00109', 'HGOHDFGA_00113', 'HGOHDFGA_00128']",6
NZ_CP018980.1,4075,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018981.1,14030,['CARBAPENEM'],['blaKPC-3'],1,['None'],['None'],['None'],0,['LLDCEEHE_00002'],1
NZ_CP018982.1,100169,"['BETA-LACTAM', 'GENTAMICIN', 'TETRACYCLINE', 'STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'MACROLIDE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM']","['blaTEM-1', 'aac(3)-IId', 'tet(A)', 'aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'mph(A)', 'sul1', 'aadA5', 'dfrA17']",10,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'Tetracycline repressor protein class A from transposon 1721', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Transcriptional regulator Rv3488', 'F1845 adhesin operon regulatory protein']","['finO', 'repA2 copB', 'tetR', 'yfiR BSU08370', 'Rv3488', 'daaA']","['finO', 'repA2', 'tetR', 'yfiR', 'Rv3488', 'daaA']",6,"['CFICEDMF_00024', 'CFICEDMF_00079', 'CFICEDMF_00088', 'CFICEDMF_00097']",4
NZ_CP018984.1,2572,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018985.1,5632,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018986.1,6076,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018987.1,6995,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018988.1,34533,['None'],['None'],0,"['TrfB transcriptional repressor protein (Regulatory protein KorA)', 'Trans-acting regulatory protein HvrA']","['trfB korA', 'hvrA']","['trfB', 'hvrA']",2,['NHBKNEAH_00038'],1
NZ_CP018989.1,85866,"['CARBAPENEM', 'BETA-LACTAM', 'BETA-LACTAM']","['blaKPC-2', 'blaTEM-1', 'blaOXA-9']",3,"['Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein']","['repA2 copB L7006 ECO57PM67', 'finO', 'merD HCM1.159', 'merR']","['repA2', 'finO', 'merD', 'merR']",4,"['HCPLCJPG_00001', 'HCPLCJPG_00009', 'HCPLCJPG_00017', 'HCPLCJPG_00045', 'HCPLCJPG_00054', 'HCPLCJPG_00059', 'HCPLCJPG_00066', 'HCPLCJPG_00069', 'HCPLCJPG_00083', 'HCPLCJPG_00089']",10
NZ_CP018990.1,150995,"['TETRACYCLINE', 'MACROLIDE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM']","['tet(A)', 'mph(A)', 'sul1', 'aadA5', 'dfrA17']",5,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Arginine repressor', 'Replication regulatory protein repA2 (Protein CopB)', 'Tetracycline repressor protein class A from transposon 1721', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Transcriptional regulator Rv3488', 'HTH-type transcriptional repressor NemR (Bleach-sensing transcription factor) (Redox-regulated transcription factor NemR)']","['finO', 'repA2 copB ECOK12F006', 'argR VP0324', 'repA2 copB', 'tetR', 'yfiR BSU08370', 'Rv3488', 'nemR ydhM b1649 JW5874']","['finO', 'repA2', 'argR', 'repA2', 'tetR', 'yfiR', 'Rv3488', 'nemR']",8,"['AOFPCCCM_00002', 'AOFPCCCM_00018', 'AOFPCCCM_00023', 'AOFPCCCM_00041', 'AOFPCCCM_00068', 'AOFPCCCM_00102', 'AOFPCCCM_00108', 'AOFPCCCM_00114', 'AOFPCCCM_00126', 'AOFPCCCM_00130', 'AOFPCCCM_00137']",11
NZ_CP018992.1,110227,"['CARBAPENEM', 'BETA-LACTAM', 'BETA-LACTAM']","['blaKPC-3', 'blaOXA-9', 'blaTEM-1']",3,"['Fertility inhibition protein (Conjugal transfer repressor)', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)']","['finO', 'merD', 'virB invE']","['finO', 'merD', 'virB']",3,"['CPCKFICB_00009', 'CPCKFICB_00062', 'CPCKFICB_00069', 'CPCKFICB_00079', 'CPCKFICB_00083', 'CPCKFICB_00089', 'CPCKFICB_00104', 'CPCKFICB_00110', 'CPCKFICB_00114']",9
NZ_CP018993.1,116563,"['STREPTOMYCIN', 'STREPTOMYCIN', 'GENTAMICIN', 'HYGROMYCIN', 'TETRACYCLINE', 'CHLORAMPHENICOL;FLORFENICOL']","['aph(6)-Id', ""aph(3'')-Ib"", 'aac(3)-IVa', 'aph(4)-Ia', 'tet(M)', 'floR']",6,['Response regulator UvrY'],['uvrY c2327'],['uvrY'],1,"['HHMIKKJN_00006', 'HHMIKKJN_00017', 'HHMIKKJN_00022', 'HHMIKKJN_00023', 'HHMIKKJN_00024', 'HHMIKKJN_00040', 'HHMIKKJN_00052', 'HHMIKKJN_00114', 'HHMIKKJN_00117']",9
NZ_CP018994.1,154854,"['TETRACYCLINE', 'TRIMETHOPRIM', 'BETA-LACTAM', 'SULFONAMIDE', 'STREPTOMYCIN', 'STREPTOMYCIN']","['tet(A)', 'dfrA5', 'blaTEM-1', 'sul2', ""aph(3'')-Ib"", 'aph(6)-Id']",6,"['Tetracycline repressor protein class A from transposon 1721', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Mercuric resistance operon regulatory protein', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)']","['tetR', 'merD', 'merR', 'repA2 copB repB CP0258', 'finO L7001 ECO57PM64']","['tetR', 'merD', 'merR', 'repA2', 'finO']",5,"['HCEHKGEB_00005', 'HCEHKGEB_00013', 'HCEHKGEB_00025', 'HCEHKGEB_00030', 'HCEHKGEB_00068', 'HCEHKGEB_00096', 'HCEHKGEB_00120', 'HCEHKGEB_00130', 'HCEHKGEB_00133', 'HCEHKGEB_00134', 'HCEHKGEB_00136']",11
NZ_CP018996.1,4074,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018997.1,4922,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP018998.1,99007,"['SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM', 'TETRACYCLINE', 'STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'MACROLIDE']","['sul1', 'aadA5', 'dfrA17', 'tet(A)', 'aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'mph(A)']",8,"['Tetracycline repressor protein class H', 'Tetracycline repressor protein class A from transposon 1721', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Transcriptional regulator Rv3488']","['tetR', 'tetR', 'yfiR BSU08370', 'Rv3488']","['tetR', 'tetR', 'yfiR', 'Rv3488']",4,"['DHELKNDB_00068', 'DHELKNDB_00099', 'DHELKNDB_00104', 'DHELKNDB_00112', 'DHELKNDB_00121']",5
NZ_CP018999.1,146163,"['MACROLIDE', 'SULFONAMIDE', 'TRIMETHOPRIM', 'BETA-LACTAM', 'STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'GENTAMICIN', 'KANAMYCIN', 'CARBAPENEM']","['mph(A)', 'sul1', 'dfrA25', 'blaTEM-235', 'aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'aac(3)-IId', ""aph(3')-Ia"", 'blaKPC-2']",10,"['Uncharacterized HTH-type transcriptional regulator YfiR', 'Mercuric resistance operon regulatory protein', 'HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Virulence regulon transcriptional activator VirB (Cell invasion regulator InvE)', 'Replication regulatory protein repA2 (Protein CopB)', 'Transcriptional repressor protein KorC']","['yfiR BSU08370', 'merR', 'merD', 'finO', 'virB invE', 'repA2 copB', 'korC']","['yfiR', 'merR', 'merD', 'finO', 'virB', 'repA2', 'korC']",7,"['HLGMABIJ_00018', 'HLGMABIJ_00023', 'HLGMABIJ_00044', 'HLGMABIJ_00077', 'HLGMABIJ_00115', 'HLGMABIJ_00124', 'HLGMABIJ_00135', 'HLGMABIJ_00137', 'HLGMABIJ_00139', 'HLGMABIJ_00171', 'HLGMABIJ_00184', 'HLGMABIJ_00185']",12
NZ_CP019001.1,272203,"['CARBAPENEM', 'SULFONAMIDE', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'CHLORAMPHENICOL;FLORFENICOL', 'TETRACYCLINE', 'STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE', 'CEPHALOSPORIN', 'TETRACYCLINE']","['blaKPC-2', 'sul1', ""aac(6')-Il"", 'floR', 'tet(A)', 'aph(6)-Id', ""aph(3'')-Ib"", 'sul2', 'blaCMY-2', 'tet(B)']",10,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Arginine repressor', 'Replication regulatory protein repA2 (Protein CopB)', 'Transcriptional repressor protein KorC', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Negative regulator of transcription (Ner)', 'Flagellar transcriptional regulator FlhD', 'Flagellar transcriptional regulator FlhC', 'Uncharacterized HTH-type transcriptional regulator MJ1325', 'Carbapenem-hydrolyzing beta-lactamase transcriptional activator', 'Tetracycline repressor protein class A from transposon 1721', 'Transcriptional repressor protein KorB', 'Uncharacterized HTH-type transcriptional regulator YdfF', 'Tetracycline repressor protein class B from transposon Tn10']","['finO', 'repA2 copB ECOK12F006', 'argR VP0324', 'repA2 copB', 'korC', 'yfiR BSU08370', 'ner', 'flhD NE2407', 'flhC', 'MJ1325', 'nmcR', 'tetR', 'korB', 'ydfF BSU05390', 'tetR']","['finO', 'repA2', 'argR', 'repA2', 'korC', 'yfiR', 'ner', 'flhD', 'flhC', 'MJ1325', 'nmcR', 'tetR', 'korB', 'ydfF', 'tetR']",15,"['BMNCLKEP_00003', 'BMNCLKEP_00031', 'BMNCLKEP_00065', 'BMNCLKEP_00070', 'BMNCLKEP_00077', 'BMNCLKEP_00091', 'BMNCLKEP_00097', 'BMNCLKEP_00098', 'BMNCLKEP_00170', 'BMNCLKEP_00172', 'BMNCLKEP_00180', 'BMNCLKEP_00182', 'BMNCLKEP_00183', 'BMNCLKEP_00188', 'BMNCLKEP_00191', 'BMNCLKEP_00198', 'BMNCLKEP_00199', 'BMNCLKEP_00302', 'BMNCLKEP_00303', 'BMNCLKEP_00318']",20
NZ_CP019002.1,112918,['None'],['None'],0,['None'],['None'],['None'],0,"['IFCOONPD_00046', 'IFCOONPD_00047', 'IFCOONPD_00067', 'IFCOONPD_00105', 'IFCOONPD_00118', 'IFCOONPD_00125']",6
NZ_CP019003.1,12603,['None'],['None'],0,['None'],['None'],['None'],0,"['MEHMOFMO_00003', 'MEHMOFMO_00004', 'MEHMOFMO_00011']",3
NZ_CP019004.1,1598,['None'],['None'],0,['None'],['None'],['None'],0,['FFPIHKMA_00001'],1
NZ_CP019006.1,47532,"['AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'RIFAMYCIN', 'TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'CARBAPENEM']","[""aac(6')-Ib-D181Y"", 'arr-3', 'dfrA27', 'aadA16', 'sul1', 'blaKPC-2']",6,"['TrfB transcriptional repressor protein (Regulatory protein KorA)', 'Trans-acting regulatory protein HvrA']","['trfB korA', 'hvrA']","['trfB', 'hvrA']",2,"['BPIAENLJ_00002', 'BPIAENLJ_00013', 'BPIAENLJ_00016', 'BPIAENLJ_00019', 'BPIAENLJ_00053']",5
NZ_CP019007.1,128249,['None'],['None'],0,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)']","['finO', 'repA2 copB repB CP0258']","['finO', 'repA2']",2,"['PILCEJEB_00011', 'PILCEJEB_00020', 'PILCEJEB_00073', 'PILCEJEB_00088', 'PILCEJEB_00089', 'PILCEJEB_00093', 'PILCEJEB_00102', 'PILCEJEB_00105', 'PILCEJEB_00106', 'PILCEJEB_00109', 'PILCEJEB_00112', 'PILCEJEB_00114', 'PILCEJEB_00121']",13
NZ_CP019009.1,130906,"['STREPTOMYCIN', 'STREPTOMYCIN', 'TETRACYCLINE', 'GENTAMICIN', 'BETA-LACTAM', 'TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'MACROLIDE', 'SULFONAMIDE']","[""aph(3'')-Ib"", 'aph(6)-Id', 'tet(A)', 'aac(3)-IId', 'blaTEM-1', 'dfrA17', 'aadA5', 'sul1', 'mph(A)', 'sul2']",10,"['Tetracycline repressor protein class A from transposon 1721', 'Replication regulatory protein repA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)', 'F1845 adhesin operon regulatory protein', 'Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator YfiR']","['tetR', 'repA2 copB', 'finO', 'daaA', 'Rv3488', 'yfiR BSU08370']","['tetR', 'repA2', 'finO', 'daaA', 'Rv3488', 'yfiR']",6,"['EKCPNKBC_00003', 'EKCPNKBC_00010', 'EKCPNKBC_00094', 'EKCPNKBC_00123', 'EKCPNKBC_00128', 'EKCPNKBC_00138']",6
NZ_CP019010.1,55747,"['BETA-LACTAM', 'CARBAPENEM']","['blaTEM-150', 'blaKPC-3']",2,['None'],['None'],['None'],0,"['BABELFOL_00043', 'BABELFOL_00060']",2
NZ_CP019011.1,74892,['None'],['None'],0,['None'],['None'],['None'],0,"['BCENOOLB_00009', 'BCENOOLB_00048', 'BCENOOLB_00054', 'BCENOOLB_00067', 'BCENOOLB_00073', 'BCENOOLB_00074']",6
NZ_CP019013.1,109058,['None'],['None'],0,['G-box-binding factor 2 (bZIP transcription factor 54) (AtbZIP54)'],['GBF2 BZIP54 At4g01120 F2N1.12'],['GBF2'],1,"['NMLAGKKH_00014', 'NMLAGKKH_00046', 'NMLAGKKH_00080', 'NMLAGKKH_00081', 'NMLAGKKH_00133']",5
NZ_CP019014.1,142830,"['STREPTOMYCIN', 'STREPTOMYCIN', 'CARBAPENEM', 'TETRACYCLINE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM', 'SULFONAMIDE']","[""aph(3'')-Ib"", 'aph(6)-Id', 'blaKPC-3', 'tet(A)', 'sul1', 'aadA5', 'dfrA17', 'sul2']",8,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein repA2 (Protein CopB)', 'Tetracycline repressor protein class A from transposon 1721', 'Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator RhmR', 'Copper-sensing transcriptional repressor CsoR (Copper-sensitive operon repressor)']","['finO', 'repA2 copB repB CP0258', 'tetR', 'Rv3488', 'rhmR yfaX b2248 JW2242', 'csoR MUL_0425']","['finO', 'repA2', 'tetR', 'Rv3488', 'rhmR', 'csoR']",6,"['CJLFJFMC_00011', 'CJLFJFMC_00029', 'CJLFJFMC_00033', 'CJLFJFMC_00036', 'CJLFJFMC_00055', 'CJLFJFMC_00070', 'CJLFJFMC_00099', 'CJLFJFMC_00117', 'CJLFJFMC_00154', 'CJLFJFMC_00155']",10
NZ_CP019016.1,37757,['None'],['None'],0,['Transcriptional activator protein AsaR'],['asaR'],['asaR'],1,['LMEBFOJJ_00014'],1
NZ_CP019017.1,73465,"['AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'BETA-LACTAM', 'BETA-LACTAM', 'CARBAPENEM', 'HYGROMYCIN', 'GENTAMICIN', 'SULFONAMIDE', 'STREPTOMYCIN', 'CHLORAMPHENICOL', 'STREPTOMYCIN']","[""aac(6')-Ib-AKT"", 'blaOXA-9', 'blaTEM-1', 'blaKPC-2', 'aph(4)-Ia', 'aac(3)-IVa', 'sul3', 'aadA1', 'cmlA1', 'aadA2']",10,['HTH-type transcriptional regulator MerD (Mercuric resistance protein MerD)'],['merD'],['merD'],1,"['ODPHIAGH_00001', 'ODPHIAGH_00007', 'ODPHIAGH_00019', 'ODPHIAGH_00026', 'ODPHIAGH_00030', 'ODPHIAGH_00038', 'ODPHIAGH_00073']",7
NZ_CP019018.1,158912,['None'],['None'],0,"['Replication regulatory protein RepA2 (Protein CopB)', 'Fertility inhibition protein (Conjugal transfer repressor)', 'Transcriptional repressor protein KorC']","['repA2 copB ECOK12F006', 'finO', 'korC']","['repA2', 'finO', 'korC']",3,"['AEBFIDPG_00013', 'AEBFIDPG_00015', 'AEBFIDPG_00024', 'AEBFIDPG_00027', 'AEBFIDPG_00028', 'AEBFIDPG_00029', 'AEBFIDPG_00059', 'AEBFIDPG_00062', 'AEBFIDPG_00063', 'AEBFIDPG_00064', 'AEBFIDPG_00070', 'AEBFIDPG_00112', 'AEBFIDPG_00121', 'AEBFIDPG_00147', 'AEBFIDPG_00171']",15
NZ_CP019019.1,199672,"['TETRACYCLINE', 'BLEOMYCIN']","['tet(A)', 'bleO']",2,"['Probable tellurium resistance transcriptional regulator TerW', 'Uncharacterized HTH-type transcriptional regulator MJ0272', 'Uncharacterized HTH-type transcriptional regulator MTH_1328', 'Probable transcriptional regulatory protein SilR', 'Transcriptional regulatory protein PcoR', 'Tetracycline repressor protein class A from transposon 1721', 'Mercuric resistance operon regulatory protein']","['terW', 'MJ0272', 'MTH_1328', 'silR', 'pcoR', 'tetR', 'merR']","['terW', 'MJ0272', 'MTH_1328', 'silR', 'pcoR', 'tetR', 'merR']",7,"['DMKADOAG_00046', 'DMKADOAG_00059', 'DMKADOAG_00069', 'DMKADOAG_00071', 'DMKADOAG_00076', 'DMKADOAG_00091', 'DMKADOAG_00113', 'DMKADOAG_00115', 'DMKADOAG_00153', 'DMKADOAG_00170', 'DMKADOAG_00176', 'DMKADOAG_00188', 'DMKADOAG_00189']",13
NZ_CP019021.1,1460,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP019022.1,3088,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP019023.1,3257,['None'],['None'],0,['None'],['None'],['None'],0,['POHNIGFD_00001'],1
NZ_CP019024.1,4064,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP019025.1,6648,['None'],['None'],0,['None'],['None'],['None'],0,[],0
NZ_CP019026.1,59374,"['SULFONAMIDE', 'QUINOLONE', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM', 'RIFAMYCIN', 'AMIKACIN;KANAMYCIN;TOBRAMYCIN', 'CARBAPENEM']","['sul1', 'qnrB6', 'sul1', 'aadA16', 'dfrA27', 'arr-3', ""aac(6')-Ib-D181Y"", 'blaKPC-2']",8,"['Psp operon transcriptional activator (Phage shock protein F)', 'TrfB transcriptional repressor protein (Regulatory protein KorA)', 'Trans-acting regulatory protein HvrA']","['pspF ycjB b1303 JW1296', 'trfB korA', 'hvrA']","['pspF', 'trfB', 'hvrA']",3,"['KHCCENDL_00017', 'KHCCENDL_00020', 'KHCCENDL_00023', 'KHCCENDL_00041', 'KHCCENDL_00047']",5
NZ_CP019027.1,109345,['None'],['None'],0,['Developmental and secondary metabolism regulator veA (Velvet complex subunit A)'],['veA AFUA_1G12490'],['veA'],1,"['EGJFAKHP_00035', 'EGJFAKHP_00036', 'EGJFAKHP_00097', 'EGJFAKHP_00117']",4
NZ_CP019028.1,147347,"['TRIMETHOPRIM', 'STREPTOMYCIN', 'SULFONAMIDE', 'MACROLIDE', 'MACROLIDE']","['dfrA17', 'aadA5', 'sul1', 'mph(A)', 'erm(B)']",5,"['Fertility inhibition protein (Conjugal transfer repressor)', 'Replication regulatory protein RepA2 (Protein CopB)', 'Arginine repressor', 'Replication regulatory protein repA2 (Protein CopB)', 'Transcriptional regulator Rv3488', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Uncharacterized HTH-type transcriptional regulator RhmR', 'Transcriptional repressor protein KorC', 'HTH-type transcriptional regulator RafR (Raffinose operon repressor)']","['finO', 'repA2 copB ECOK12F006', 'argR VP0324', 'repA2 copB', 'Rv3488', 'yfiR BSU08370', 'rhmR yfaX b2248 JW2242', 'korC', 'rafR']","['finO', 'repA2', 'argR', 'repA2', 'Rv3488', 'yfiR', 'rhmR', 'korC', 'rafR']",9,"['GBFEGGDK_00039', 'GBFEGGDK_00047', 'GBFEGGDK_00054', 'GBFEGGDK_00068', 'GBFEGGDK_00094', 'GBFEGGDK_00129', 'GBFEGGDK_00137', 'GBFEGGDK_00149', 'GBFEGGDK_00150', 'GBFEGGDK_00152']",10
NZ_CP019052.1,65534,"['CEPHALOSPORIN', 'COLISTIN']","['blaCTX-M-55', 'mcr-1.1']",2,['Transcriptional activatory protein CaiF'],['caiF SF0031 S0033'],['caiF'],1,['PALDELLE_00020'],1
NZ_CP019053.1,155803,"['GENTAMICIN', 'CHLORAMPHENICOL;FLORFENICOL', 'TETRACYCLINE', 'MACROLIDE', 'SULFONAMIDE', 'RIFAMYCIN', 'CARBAPENEM', 'BLEOMYCIN', 'SULFONAMIDE', 'STREPTOMYCIN', 'TRIMETHOPRIM', 'RIFAMYCIN', 'AMIKACIN;KANAMYCIN;QUINOLONE;TOBRAMYCIN', 'GENTAMICIN', 'STREPTOMYCIN', 'STREPTOMYCIN', 'SULFONAMIDE']","['aac(3)-IId', 'floR', 'tet(A)', 'mph(A)', 'sul1', 'arr-3', 'blaNDM-1', 'ble-MBL', 'sul1', 'aadA16', 'dfrA27', 'arr-3', ""aac(6')-Ib-cr5"", 'aac(3)-IId', 'aph(6)-Id', ""aph(3'')-Ib"", 'sul2']",17,"['Carbapenem-hydrolyzing beta-lactamase transcriptional activator', 'Tetracycline repressor protein class A from transposon 1721', 'Uncharacterized HTH-type transcriptional regulator YfiR', 'Transcriptional regulator Rv3488', 'Transcriptional repressor protein KorB', 'Negative regulator of transcription (Ner)', 'Flagellar transcriptional regulator FlhD', 'Flagellar transcriptional regulator FlhC']","['nmcR', 'tetR', 'yfiR BSU08370', 'Rv3488', 'korB', 'ner', 'flhD NE2407', 'flhC']","['nmcR', 'tetR', 'yfiR', 'Rv3488', 'korB', 'ner', 'flhD', 'flhC']",8,"['PBJFOIHC_00023', 'PBJFOIHC_00025', 'PBJFOIHC_00036', 'PBJFOIHC_00037', 'PBJFOIHC_00042', 'PBJFOIHC_00046', 'PBJFOIHC_00053', 'PBJFOIHC_00080', 'PBJFOIHC_00081', 'PBJFOIHC_00169']",10
